Date,Name,Expense,Amount
2024-06-17,Netflix,Expense,103.14
2023-06-13,Salary Deposit,Income,882.17
2024-08-18,Phone Company,Expense,120.65
2022-08-22,Rent Payment,Expense,224.33
2022-10-23,Water Utility,Expense,361.71
2024-02-25,Salary Deposit,Income,820.35
2024-07-30,Costco,Expense,682.25
2022-12-08,Phone Company,Expense,84.67
2024-06-15,Electric Company,Expense,166.69
2022-01-16,Salary Deposit,Income,741.73
2023-09-29,McDonald's,Expense,52.07
2022-08-17,Salary Deposit,Income,627.41
2022-09-05,Best Buy,Expense,246.77
2022-04-29,Misc Income,Income,787.25
2024-07-15,Uber,Expense,373.44
2024-12-03,Car Insurance,Expense,785.66
2022-10-12,Salary Deposit,Income,740.8
2022-08-28,Salary Deposit,Income,634.91
2024-09-04,Apple Store,Expense,656.88
2024-11-08,Starbucks,Expense,166.45
2023-10-04,Starbucks,Expense,54.63
2022-03-03,Salary Deposit,Income,761.02
2024-02-07,Salary Deposit,Income,973.96
2022-12-14,Walmart,Expense,394.44
2024-09-29,Salary Deposit,Income,832.07
2024-08-23,Car Insurance,Expense,795.72
2022-07-11,Shell Gas,Expense,635.0
2022-03-01,Water Utility,Expense,445.48
2023-11-03,Salary Deposit,Income,111.32
2022-08-28,Apple Store,Expense,55.46
2023-11-03,Electric Company,Expense,465.88
2022-10-12,Apple Store,Expense,166.95
2024-04-13,Salary Deposit,Income,561.03
2022-07-04,Salary Deposit,Income,953.75
2023-04-20,Salary Deposit,Income,578.99
2024-04-04,Misc Income,Income,881.07
2022-08-28,Salary Deposit,Income,501.69
2022-08-11,McDonald's,Expense,804.53
2024-03-22,Gym Membership,Expense,631.68
2022-08-31,Starbucks,Expense,318.09
2022-08-09,Misc Income,Income,111.83
2023-09-02,Misc Income,Income,660.55
2022-11-11,McDonald's,Expense,521.87
2023-08-11,Salary Deposit,Income,329.59
2022-09-16,Shell Gas,Expense,804.78
2022-07-09,Salary Deposit,Income,753.66
2023-03-10,Spotify,Expense,357.86
2023-07-03,Health Insurance,Expense,444.47
2022-07-24,Salary Deposit,Income,498.35
2024-07-02,Salary Deposit,Income,645.11
2022-12-13,Salary Deposit,Income,824.85
2024-06-25,Misc Income,Income,16.14
2023-08-18,Salary Deposit,Income,24.29
2022-05-24,Kroger,Expense,987.61
2022-03-05,CVS Pharmacy,Expense,936.87
2022-02-20,Walmart,Expense,877.74
2023-11-15,Salary Deposit,Income,841.18
2024-01-04,Salary Deposit,Income,627.39
2022-01-24,Rent Payment,Expense,994.38
2023-05-07,Salary Deposit,Income,948.96
2023-10-08,Costco,Expense,574.86
2023-09-21,Salary Deposit,Income,196.16
2022-02-24,Home Depot,Expense,120.95
2024-03-21,Salary Deposit,Income,324.73
2023-08-08,Salary Deposit,Income,716.3
2022-03-28,Netflix,Expense,819.68
2023-07-24,Rent Payment,Expense,957.95
2022-11-30,Misc Income,Income,470.67
2024-12-17,Amazon,Expense,513.68
2022-12-09,Kroger,Expense,19.0
2023-01-04,Water Utility,Expense,904.7
2023-09-03,Phone Company,Expense,10.06
2023-03-25,Costco,Expense,118.93
2024-07-11,Misc Income,Income,855.2
2022-10-19,Amazon,Expense,813.0
2024-08-18,Salary Deposit,Income,80.64
2024-03-26,Salary Deposit,Income,657.47
2023-11-16,Misc Income,Income,234.6
2022-11-26,Salary Deposit,Income,105.19
2024-04-15,Starbucks,Expense,999.31
2022-08-22,Salary Deposit,Income,902.86
2024-10-23,CVS Pharmacy,Expense,727.37
2022-03-15,Walgreens,Expense,221.37
2022-01-29,Salary Deposit,Income,142.88
2024-08-24,Shell Gas,Expense,757.24
2024-12-23,McDonald's,Expense,737.4
2024-08-10,Salary Deposit,Income,936.36
2024-06-07,Apple Store,Expense,824.77
2024-07-02,Misc Income,Income,125.34
2024-05-31,Car Insurance,Expense,173.0
2022-12-09,Misc Income,Income,421.93
2024-12-02,Salary Deposit,Income,460.97
2022-11-10,Salary Deposit,Income,279.18
2024-02-11,Salary Deposit,Income,706.37
2024-04-05,Salary Deposit,Income,128.98
2022-07-06,Salary Deposit,Income,285.26
2023-12-07,Salary Deposit,Income,843.4
2023-05-24,Starbucks,Expense,974.85
2024-10-25,Salary Deposit,Income,369.98
2022-09-21,Misc Income,Income,909.67
2022-10-11,Salary Deposit,Income,653.24
2022-05-20,Salary Deposit,Income,336.11
2023-03-09,Salary Deposit,Income,963.22
2023-01-28,Costco,Expense,62.51
2023-12-20,Salary Deposit,Income,989.32
2022-12-21,Salary Deposit,Income,177.51
2022-12-11,Car Insurance,Expense,43.23
2024-10-05,Salary Deposit,Income,166.29
2023-08-10,Gym Membership,Expense,151.33
2022-03-27,Electric Company,Expense,936.01
2023-05-07,Apple Store,Expense,897.29
2023-05-03,Kroger,Expense,247.32
2022-12-20,Misc Income,Income,141.64
2022-02-15,Salary Deposit,Income,224.52
2022-12-26,Salary Deposit,Income,166.43
2024-08-09,Salary Deposit,Income,1.06
2023-07-13,Netflix,Expense,569.64
2022-02-02,Salary Deposit,Income,149.84
2023-09-14,Salary Deposit,Income,999.38
2023-03-08,Gym Membership,Expense,392.09
2023-07-05,Salary Deposit,Income,235.13
2024-12-20,Salary Deposit,Income,16.44
2022-07-06,McDonald's,Expense,559.35
2022-07-21,Salary Deposit,Income,144.29
2023-07-11,Walgreens,Expense,691.48
2022-10-26,Internet Provider,Expense,820.67
2023-01-25,Salary Deposit,Income,633.48
2023-02-13,Car Insurance,Expense,180.15
2023-05-22,Shell Gas,Expense,670.49
2023-07-23,Netflix,Expense,34.87
2023-11-24,Uber,Expense,977.89
2024-09-17,Electric Company,Expense,248.57
2022-11-01,Starbucks,Expense,136.3
2024-11-29,Spotify,Expense,680.1
2023-12-05,Misc Income,Income,216.91
2023-06-21,Home Depot,Expense,686.85
2022-10-13,Salary Deposit,Income,137.37
2024-08-21,Salary Deposit,Income,576.26
2023-04-27,Best Buy,Expense,306.96
2022-05-19,Gym Membership,Expense,640.56
2024-06-28,Misc Income,Income,635.14
2024-12-20,Salary Deposit,Income,732.33
2023-08-13,Salary Deposit,Income,745.13
2024-05-09,Walgreens,Expense,375.58
2022-04-13,Internet Provider,Expense,496.45
2022-07-26,Phone Company,Expense,740.18
2022-04-14,Netflix,Expense,973.7
2022-03-03,Shell Gas,Expense,734.14
2023-10-23,Salary Deposit,Income,757.72
2022-04-03,Misc Income,Income,719.37
2024-01-14,Salary Deposit,Income,507.3
2022-04-27,Electric Company,Expense,502.52
2024-12-11,Spotify,Expense,126.62
2023-05-29,Salary Deposit,Income,849.76
2022-09-25,Internet Provider,Expense,703.73
2024-08-22,Walmart,Expense,274.99
2022-05-24,Car Insurance,Expense,76.85
2024-01-15,Netflix,Expense,594.37
2022-03-06,Kroger,Expense,884.48
2022-10-08,Costco,Expense,985.53
2024-08-01,Salary Deposit,Income,817.18
2024-09-20,Salary Deposit,Income,658.74
2022-09-04,Target,Expense,912.7
2024-06-01,Salary Deposit,Income,858.1
2022-04-26,Target,Expense,860.42
2023-02-18,Salary Deposit,Income,211.46
2024-01-03,Shell Gas,Expense,522.77
2024-01-15,Gym Membership,Expense,234.35
2024-08-15,Costco,Expense,766.94
2024-01-19,Target,Expense,746.77
2022-10-17,Phone Company,Expense,438.5
2024-01-02,Misc Income,Income,684.94
2023-04-22,Salary Deposit,Income,615.64
2022-11-25,Salary Deposit,Income,892.19
2022-05-20,Salary Deposit,Income,701.79
2023-10-14,Home Depot,Expense,263.86
2022-09-26,Salary Deposit,Income,387.77
2024-11-04,Costco,Expense,178.9
2023-04-19,Salary Deposit,Income,931.27
2023-05-05,Misc Income,Income,471.23
2024-01-26,Salary Deposit,Income,998.61
2022-11-08,Salary Deposit,Income,200.74
2023-07-23,Misc Income,Income,239.22
2022-12-30,Salary Deposit,Income,566.13
2023-01-12,Health Insurance,Expense,719.3
2023-05-19,Salary Deposit,Income,748.04
2023-05-03,Salary Deposit,Income,459.43
2022-11-20,Walgreens,Expense,257.3
2023-05-04,Misc Income,Income,285.08
2022-10-27,Starbucks,Expense,937.23
2023-10-02,Internet Provider,Expense,305.0
2024-07-30,CVS Pharmacy,Expense,408.0
2023-07-20,Misc Income,Income,595.79
2024-12-15,Home Depot,Expense,430.6
2024-09-18,Salary Deposit,Income,779.0
2024-09-22,Salary Deposit,Income,934.81
2024-09-17,Uber,Expense,473.26
2024-12-30,Salary Deposit,Income,638.31
2022-10-25,Salary Deposit,Income,694.45
2022-08-21,Salary Deposit,Income,789.51
2024-02-29,Misc Income,Income,536.9
2024-11-06,Target,Expense,808.62
2023-07-01,Misc Income,Income,383.92
2023-03-22,Walmart,Expense,29.25
2024-11-23,Electric Company,Expense,114.36
2022-12-22,Salary Deposit,Income,234.14
2022-12-04,Misc Income,Income,193.68
2024-05-20,Health Insurance,Expense,933.88
2023-10-16,Gym Membership,Expense,67.37
2023-03-20,Costco,Expense,971.79
2024-02-11,Salary Deposit,Income,474.96
2024-01-09,Salary Deposit,Income,830.57
2023-01-31,Amazon,Expense,751.66
2023-03-16,Misc Income,Income,896.49
2024-10-02,Health Insurance,Expense,601.89
2023-04-12,Walgreens,Expense,404.04
2023-10-17,Starbucks,Expense,581.77
2024-10-24,Uber,Expense,615.51
2022-06-24,Water Utility,Expense,869.93
2023-04-03,Walgreens,Expense,730.37
2024-09-24,CVS Pharmacy,Expense,351.36
2024-02-25,Walgreens,Expense,621.05
2024-03-09,Electric Company,Expense,36.94
2022-12-14,Salary Deposit,Income,778.12
2022-07-30,Salary Deposit,Income,188.23
2023-05-03,Water Utility,Expense,223.81
2023-01-01,Salary Deposit,Income,674.27
2022-05-02,Salary Deposit,Income,422.32
2023-09-23,Salary Deposit,Income,892.21
2024-08-23,Gym Membership,Expense,522.39
2022-05-31,Target,Expense,771.66
2024-07-31,CVS Pharmacy,Expense,771.02
2022-08-22,Car Insurance,Expense,379.61
2023-11-16,Shell Gas,Expense,877.03
2022-09-04,Apple Store,Expense,688.57
2024-02-06,Phone Company,Expense,372.13
2022-11-18,Uber,Expense,535.46
2023-11-15,Salary Deposit,Income,26.79
2023-11-08,Starbucks,Expense,886.62
2024-03-27,Salary Deposit,Income,120.85
2024-06-06,Best Buy,Expense,897.14
2024-02-06,Salary Deposit,Income,863.13
2024-08-07,Spotify,Expense,324.67
2023-01-01,Salary Deposit,Income,465.53
2022-12-06,Netflix,Expense,165.96
2023-11-24,Salary Deposit,Income,494.83
2024-07-02,Salary Deposit,Income,824.25
2023-02-18,Amazon,Expense,219.93
2022-07-16,Salary Deposit,Income,418.47
2023-03-13,Salary Deposit,Income,958.36
2022-05-03,Salary Deposit,Income,975.07
2023-07-23,Walgreens,Expense,381.94
2023-11-26,Salary Deposit,Income,274.85
2023-10-02,Netflix,Expense,824.21
2023-03-02,Salary Deposit,Income,744.95
2023-12-14,Internet Provider,Expense,340.94
2024-03-25,Salary Deposit,Income,998.75
2023-11-09,Salary Deposit,Income,529.39
2024-06-14,Health Insurance,Expense,638.24
2024-07-13,Salary Deposit,Income,517.23
2024-08-28,Salary Deposit,Income,235.44
2022-08-08,Salary Deposit,Income,22.21
2023-11-28,Electric Company,Expense,337.74
2023-09-27,Misc Income,Income,515.5
2023-06-01,Salary Deposit,Income,442.09
2024-08-21,Misc Income,Income,926.8
2023-03-23,Amazon,Expense,468.02
2024-05-02,Amazon,Expense,698.59
2022-09-06,CVS Pharmacy,Expense,580.55
2023-08-03,Starbucks,Expense,440.75
2024-05-12,CVS Pharmacy,Expense,372.67
2024-07-28,Misc Income,Income,574.2
2022-05-26,Misc Income,Income,463.14
2022-01-29,McDonald's,Expense,993.41
2022-03-13,Apple Store,Expense,671.63
2023-02-17,Salary Deposit,Income,909.03
2024-06-05,Walmart,Expense,740.07
2022-10-09,Netflix,Expense,766.98
2022-08-17,Salary Deposit,Income,764.79
2022-12-01,Salary Deposit,Income,676.73
2022-09-15,Costco,Expense,128.56
2023-09-02,Misc Income,Income,945.27
2023-11-30,Phone Company,Expense,513.34
2022-07-29,Misc Income,Income,675.47
2024-05-30,Salary Deposit,Income,623.44
2024-11-19,Health Insurance,Expense,190.49
2024-08-23,Salary Deposit,Income,16.23
2024-08-23,Salary Deposit,Income,816.49
2023-07-26,Health Insurance,Expense,602.23
2022-11-29,Salary Deposit,Income,334.58
2022-04-13,Salary Deposit,Income,320.56
2024-11-21,Phone Company,Expense,784.89
2022-11-29,Phone Company,Expense,121.8
2023-11-15,Salary Deposit,Income,153.21
2023-09-28,Amazon,Expense,654.66
2023-03-03,Salary Deposit,Income,342.36
2022-10-22,Salary Deposit,Income,398.12
2022-12-26,Salary Deposit,Income,563.73
2023-10-15,Salary Deposit,Income,956.43
2024-03-23,Best Buy,Expense,867.43
2023-06-02,Shell Gas,Expense,217.85
2022-06-18,Electric Company,Expense,687.47
2024-03-22,Gym Membership,Expense,995.5
2022-03-03,Misc Income,Income,181.07
2023-02-13,Internet Provider,Expense,591.99
2024-06-05,Amazon,Expense,267.19
2022-07-27,Apple Store,Expense,121.41
2022-08-24,Costco,Expense,817.7
2024-01-10,Costco,Expense,937.5
2022-10-24,Salary Deposit,Income,177.5
2023-01-08,Home Depot,Expense,239.26
2022-12-03,Misc Income,Income,819.86
2023-12-06,Phone Company,Expense,118.63
2023-01-17,Salary Deposit,Income,985.25
2023-01-09,Salary Deposit,Income,120.97
2022-08-14,Salary Deposit,Income,165.84
2022-01-01,Kroger,Expense,413.3
2023-05-22,Target,Expense,272.0
2022-02-27,Misc Income,Income,45.8
2024-05-02,Gym Membership,Expense,659.29
2023-02-26,Rent Payment,Expense,595.6
2024-01-20,Shell Gas,Expense,469.38
2022-07-06,Health Insurance,Expense,646.55
2022-03-04,Salary Deposit,Income,890.21
2023-07-24,Salary Deposit,Income,809.86
2024-10-14,Salary Deposit,Income,101.0
2023-04-12,Starbucks,Expense,110.86
2022-11-23,Salary Deposit,Income,981.53
2024-09-18,Salary Deposit,Income,698.79
2023-10-13,Salary Deposit,Income,191.99
2022-12-15,Netflix,Expense,199.67
2023-07-23,Gym Membership,Expense,725.29
2022-12-11,Water Utility,Expense,948.95
2024-03-02,Misc Income,Income,227.96
2022-02-21,Uber,Expense,6.06
2022-10-13,Kroger,Expense,432.77
2023-06-19,Salary Deposit,Income,401.43
2023-12-16,Misc Income,Income,796.99
2023-02-21,Salary Deposit,Income,604.51
2022-06-30,Home Depot,Expense,603.3
2022-05-09,Salary Deposit,Income,888.5
2024-04-20,Salary Deposit,Income,281.11
2022-02-02,Uber,Expense,77.33
2022-05-24,Misc Income,Income,783.09
2022-06-16,Water Utility,Expense,7.39
2024-03-29,Misc Income,Income,582.98
2023-02-19,Salary Deposit,Income,806.91
2024-05-22,Starbucks,Expense,957.3
2022-11-02,Misc Income,Income,863.54
2022-08-01,Salary Deposit,Income,149.01
2023-04-03,Misc Income,Income,500.8
2023-04-03,Salary Deposit,Income,916.95
2024-11-15,Misc Income,Income,408.54
2022-11-20,Water Utility,Expense,391.31
2024-06-02,Salary Deposit,Income,511.04
2023-12-23,Salary Deposit,Income,179.97
2022-08-14,Spotify,Expense,384.68
2022-11-04,Salary Deposit,Income,469.66
2024-01-20,Costco,Expense,164.73
2023-06-23,Costco,Expense,734.01
2023-04-02,Water Utility,Expense,674.85
2022-12-14,Amazon,Expense,304.32
2022-09-17,Salary Deposit,Income,291.93
2023-03-15,Salary Deposit,Income,222.32
2023-02-20,Salary Deposit,Income,868.6
2024-04-23,Target,Expense,743.14
2022-02-01,Salary Deposit,Income,681.55
2023-01-06,Misc Income,Income,303.22
2023-08-05,Salary Deposit,Income,785.74
2024-04-26,Salary Deposit,Income,797.92
2022-08-31,Walmart,Expense,424.24
2024-06-19,Misc Income,Income,422.61
2023-01-02,Salary Deposit,Income,7.93
2024-02-24,Home Depot,Expense,610.72
2023-12-19,Salary Deposit,Income,542.01
2024-02-16,Water Utility,Expense,490.34
2024-06-03,Salary Deposit,Income,752.86
2022-10-31,Gym Membership,Expense,176.02
2024-01-23,Salary Deposit,Income,347.47
2023-04-07,Starbucks,Expense,170.09
2022-03-05,Misc Income,Income,616.7
2023-03-05,Home Depot,Expense,863.05
2023-04-23,Gym Membership,Expense,870.11
2024-05-25,Amazon,Expense,816.27
2022-01-09,Salary Deposit,Income,380.46
2024-01-03,Salary Deposit,Income,202.02
2024-12-26,Home Depot,Expense,394.88
2024-08-28,Kroger,Expense,782.56
2024-02-27,Uber,Expense,607.15
2023-01-27,Internet Provider,Expense,359.61
2024-04-11,Salary Deposit,Income,998.51
2024-12-15,Water Utility,Expense,868.29
2024-07-02,Target,Expense,443.37
2022-04-10,Home Depot,Expense,766.52
2024-06-06,Internet Provider,Expense,60.04
2022-05-07,Shell Gas,Expense,731.87
2024-10-03,Rent Payment,Expense,256.63
2023-05-06,Gym Membership,Expense,745.82
2022-09-11,Rent Payment,Expense,485.62
2024-05-20,Rent Payment,Expense,766.2
2022-01-15,Walgreens,Expense,124.67
2023-05-14,Salary Deposit,Income,200.77
2024-01-13,Kroger,Expense,185.08
2023-03-19,Apple Store,Expense,237.32
2024-05-10,Salary Deposit,Income,777.33
2024-12-15,Apple Store,Expense,193.84
2023-06-07,Salary Deposit,Income,848.55
2024-07-24,Best Buy,Expense,950.77
2024-01-22,Uber,Expense,871.07
2023-03-31,Home Depot,Expense,611.04
2023-09-08,Shell Gas,Expense,911.57
2023-05-05,Shell Gas,Expense,40.98
2023-03-10,CVS Pharmacy,Expense,280.87
2024-08-21,Walmart,Expense,761.09
2023-04-17,Kroger,Expense,648.63
2024-10-27,Amazon,Expense,13.54
2024-10-17,Salary Deposit,Income,13.47
2023-09-23,Misc Income,Income,675.42
2023-02-21,Misc Income,Income,543.56
2023-01-14,Target,Expense,298.9
2024-12-02,Target,Expense,68.11
2022-10-03,Salary Deposit,Income,601.99
2023-01-23,Salary Deposit,Income,418.32
2022-12-16,Salary Deposit,Income,789.96
2022-01-04,Starbucks,Expense,927.67
2023-06-05,Salary Deposit,Income,676.21
2022-01-19,Electric Company,Expense,505.02
2023-04-19,Amazon,Expense,512.41
2022-11-22,McDonald's,Expense,464.02
2022-05-10,Salary Deposit,Income,416.3
2023-11-17,Salary Deposit,Income,844.1
2023-03-27,Car Insurance,Expense,198.34
2023-11-13,McDonald's,Expense,394.75
2022-04-27,Costco,Expense,895.89
2022-11-02,Salary Deposit,Income,268.84
2024-09-08,Car Insurance,Expense,681.3
2023-01-02,Salary Deposit,Income,100.0
2023-12-15,Rent Payment,Expense,276.46
2024-03-23,Shell Gas,Expense,625.54
2023-01-22,Misc Income,Income,183.4
2023-09-18,Kroger,Expense,531.7
2022-11-10,Best Buy,Expense,415.01
2024-10-06,Salary Deposit,Income,854.83
2022-03-05,McDonald's,Expense,440.27
2024-12-29,Misc Income,Income,920.5
2024-05-28,Water Utility,Expense,432.22
2024-04-09,Salary Deposit,Income,972.25
2023-04-21,Salary Deposit,Income,908.65
2024-08-18,Salary Deposit,Income,82.06
2024-10-24,Salary Deposit,Income,829.01
2022-05-29,Salary Deposit,Income,312.16
2023-04-06,Home Depot,Expense,439.16
2022-12-09,Salary Deposit,Income,76.65
2022-07-21,Health Insurance,Expense,629.1
2022-09-07,Phone Company,Expense,626.32
2022-03-19,Salary Deposit,Income,580.72
2023-01-21,Apple Store,Expense,913.48
2023-02-22,Water Utility,Expense,376.11
2023-09-01,Salary Deposit,Income,670.81
2022-03-15,Misc Income,Income,489.32
2022-10-18,Salary Deposit,Income,978.54
2022-12-21,Salary Deposit,Income,331.89
2022-12-09,Salary Deposit,Income,944.12
2022-11-16,McDonald's,Expense,92.21
2023-03-03,Salary Deposit,Income,557.87
2024-03-13,Uber,Expense,694.69
2022-11-16,Electric Company,Expense,7.27
2022-11-22,Salary Deposit,Income,654.25
2023-04-25,Walmart,Expense,79.13
2022-08-21,Misc Income,Income,383.2
2023-06-03,Salary Deposit,Income,132.72
2023-05-31,Phone Company,Expense,918.28
2022-09-18,Salary Deposit,Income,67.95
2024-12-19,Salary Deposit,Income,171.27
2024-01-13,Salary Deposit,Income,600.39
2024-04-15,Misc Income,Income,65.16
2022-03-09,Salary Deposit,Income,975.29
2022-09-26,Salary Deposit,Income,782.2
2024-10-01,Salary Deposit,Income,450.45
2024-01-01,Misc Income,Income,140.27
2024-11-15,Salary Deposit,Income,510.1
2023-09-12,Spotify,Expense,603.4
2023-05-08,Salary Deposit,Income,204.64
2023-10-02,Starbucks,Expense,517.19
2023-07-09,Salary Deposit,Income,994.51
2022-11-13,Netflix,Expense,746.56
2024-06-16,Salary Deposit,Income,140.35
2024-10-20,Misc Income,Income,430.63
2022-01-05,Salary Deposit,Income,436.39
2022-11-17,Salary Deposit,Income,514.36
2024-02-24,Health Insurance,Expense,551.51
2023-07-26,Kroger,Expense,110.13
2024-02-29,Apple Store,Expense,356.18
2023-06-27,Misc Income,Income,255.48
2024-08-29,Salary Deposit,Income,9.59
2023-10-24,Starbucks,Expense,24.05
2022-12-04,Uber,Expense,190.9
2023-02-24,Car Insurance,Expense,612.46
2022-10-22,Salary Deposit,Income,833.94
2024-08-27,Best Buy,Expense,60.23
2022-09-15,Target,Expense,954.82
2024-10-18,Salary Deposit,Income,376.17
2022-09-25,Salary Deposit,Income,310.28
2024-01-04,Internet Provider,Expense,347.94
2024-10-17,Apple Store,Expense,667.89
2024-07-21,Target,Expense,823.57
2023-04-10,Apple Store,Expense,275.32
2022-12-24,Gym Membership,Expense,675.15
2022-08-24,McDonald's,Expense,166.08
2022-10-08,Netflix,Expense,81.2
2023-08-23,Salary Deposit,Income,260.56
2022-07-10,Home Depot,Expense,255.24
2022-04-05,Misc Income,Income,365.46
2022-10-31,Health Insurance,Expense,281.95
2023-02-16,Starbucks,Expense,118.72
2024-01-04,Electric Company,Expense,56.93
2024-09-22,Kroger,Expense,778.56
2022-07-27,Water Utility,Expense,914.41
2022-07-11,Salary Deposit,Income,110.38
2024-07-02,Misc Income,Income,763.42
2024-02-10,Kroger,Expense,562.29
2023-03-24,Best Buy,Expense,601.8
2023-01-26,Best Buy,Expense,242.67
2024-10-17,Salary Deposit,Income,947.64
2022-10-19,Electric Company,Expense,662.55
2024-11-23,Salary Deposit,Income,144.17
2024-05-05,McDonald's,Expense,294.99
2024-05-27,Health Insurance,Expense,910.0
2022-01-15,Misc Income,Income,616.58
2022-11-22,McDonald's,Expense,993.95
2024-02-22,Walgreens,Expense,39.88
2023-05-27,Salary Deposit,Income,727.19
2022-09-27,Costco,Expense,119.19
2024-06-21,Salary Deposit,Income,807.23
2022-10-28,Water Utility,Expense,123.6
2022-09-27,Salary Deposit,Income,169.32
2024-01-10,Salary Deposit,Income,590.58
2022-09-17,Salary Deposit,Income,275.61
2024-12-29,Netflix,Expense,351.9
2024-10-17,Salary Deposit,Income,64.39
2024-05-01,Salary Deposit,Income,191.29
2024-06-26,Salary Deposit,Income,67.84
2022-03-12,Home Depot,Expense,308.55
2022-09-02,Walmart,Expense,790.07
2022-07-10,Salary Deposit,Income,756.47
2024-05-25,Salary Deposit,Income,412.67
2024-08-22,Salary Deposit,Income,887.81
2022-12-29,Salary Deposit,Income,25.94
2022-05-24,Health Insurance,Expense,153.33
2024-06-14,Misc Income,Income,126.24
2022-10-02,Salary Deposit,Income,574.04
2024-03-04,Uber,Expense,57.23
2023-07-26,Best Buy,Expense,971.23
2024-09-11,Salary Deposit,Income,578.5
2023-02-27,Salary Deposit,Income,432.32
2023-10-12,Misc Income,Income,810.27
2023-01-19,Salary Deposit,Income,282.75
2024-03-10,Misc Income,Income,609.8
2022-04-26,Salary Deposit,Income,397.73
2024-12-05,Salary Deposit,Income,335.06
2023-08-10,Salary Deposit,Income,680.61
2023-09-24,Salary Deposit,Income,292.3
2022-08-23,Water Utility,Expense,616.71
2024-11-01,Gym Membership,Expense,727.38
2024-12-17,Amazon,Expense,894.08
2022-11-17,Uber,Expense,853.63
2024-01-13,Salary Deposit,Income,418.93
2023-07-01,Misc Income,Income,433.41
2024-01-12,Salary Deposit,Income,452.73
2022-05-02,Salary Deposit,Income,750.17
2022-09-09,Starbucks,Expense,265.98
2023-09-07,Costco,Expense,792.33
2024-02-22,Salary Deposit,Income,971.22
2023-05-01,Walmart,Expense,218.55
2023-02-27,Costco,Expense,727.09
2024-09-06,Salary Deposit,Income,290.84
2024-10-03,Salary Deposit,Income,974.94
2023-10-10,Salary Deposit,Income,627.73
2022-09-15,Salary Deposit,Income,198.55
2024-10-29,Misc Income,Income,789.43
2024-09-29,Misc Income,Income,730.31
2024-07-10,Salary Deposit,Income,225.24
2022-12-01,CVS Pharmacy,Expense,160.03
2024-03-14,Salary Deposit,Income,346.23
2022-10-11,Electric Company,Expense,816.73
2023-08-17,Salary Deposit,Income,516.88
2022-10-30,Health Insurance,Expense,219.51
2023-09-09,Misc Income,Income,749.64
2024-09-24,Kroger,Expense,680.76
2024-08-18,Salary Deposit,Income,347.9
2024-11-16,Misc Income,Income,567.1
2022-01-07,Salary Deposit,Income,602.77
2022-01-13,Salary Deposit,Income,550.76
2022-12-15,Best Buy,Expense,440.26
2024-08-28,Best Buy,Expense,225.28
2024-07-03,Water Utility,Expense,139.49
2022-02-26,Misc Income,Income,61.73
2022-10-31,Water Utility,Expense,246.49
2023-08-11,Car Insurance,Expense,878.28
2023-08-10,Uber,Expense,713.33
2022-09-29,Salary Deposit,Income,193.49
2024-11-14,Home Depot,Expense,128.88
2023-06-13,Amazon,Expense,113.56
2024-10-16,Apple Store,Expense,222.93
2024-07-19,CVS Pharmacy,Expense,309.29
2022-03-13,Salary Deposit,Income,408.02
2023-07-06,Salary Deposit,Income,855.93
2023-10-18,Home Depot,Expense,654.55
2024-10-25,Salary Deposit,Income,235.07
2023-03-19,Spotify,Expense,285.14
2022-08-11,Apple Store,Expense,192.8
2024-02-29,Health Insurance,Expense,324.88
2024-08-26,Salary Deposit,Income,336.73
2024-07-04,Salary Deposit,Income,410.04
2022-07-17,Misc Income,Income,815.28
2023-05-02,Netflix,Expense,417.95
2023-07-14,Spotify,Expense,240.64
2023-08-30,Salary Deposit,Income,255.51
2022-07-10,Salary Deposit,Income,563.88
2024-04-27,Salary Deposit,Income,167.77
2024-10-01,Home Depot,Expense,400.18
2023-03-25,Shell Gas,Expense,209.03
2023-05-26,Salary Deposit,Income,875.47
2022-02-18,Best Buy,Expense,32.77
2024-08-02,Car Insurance,Expense,444.61
2024-08-26,Walmart,Expense,460.62
2023-04-24,Salary Deposit,Income,536.88
2024-02-06,Salary Deposit,Income,53.91
2023-07-13,Salary Deposit,Income,700.43
2024-03-09,Salary Deposit,Income,365.63
2023-12-01,Best Buy,Expense,58.39
2023-01-25,Salary Deposit,Income,382.56
2024-02-03,Apple Store,Expense,660.7
2022-09-30,Rent Payment,Expense,981.92
2022-12-13,Salary Deposit,Income,748.9
2023-01-29,Shell Gas,Expense,268.18
2023-02-08,Salary Deposit,Income,615.16
2023-12-26,Netflix,Expense,367.8
2022-07-29,Home Depot,Expense,249.95
2023-07-27,Misc Income,Income,632.03
2023-10-15,Netflix,Expense,205.12
2023-08-03,CVS Pharmacy,Expense,447.89
2023-02-04,Walgreens,Expense,633.27
2022-08-15,Salary Deposit,Income,572.87
2023-02-24,Uber,Expense,739.78
2024-08-17,McDonald's,Expense,165.96
2024-03-04,Apple Store,Expense,585.58
2024-03-03,Salary Deposit,Income,735.31
2024-09-29,Salary Deposit,Income,604.35
2023-08-25,Spotify,Expense,846.38
2023-12-12,Apple Store,Expense,109.76
2024-08-20,Misc Income,Income,702.44
2022-11-03,Misc Income,Income,444.73
2022-05-28,Salary Deposit,Income,14.33
2024-05-22,Walgreens,Expense,333.54
2023-12-15,Salary Deposit,Income,49.24
2022-03-10,Water Utility,Expense,7.45
2023-09-26,Misc Income,Income,369.33
2022-12-14,Salary Deposit,Income,201.56
